Percentage served,Time in ms
0,27.886
1,30.987
2,31.163
3,31.183
4,31.197
5,31.211
6,31.218
7,31.225
8,31.235
9,31.243
10,31.251
11,31.263
12,31.276
13,31.287
14,31.299
15,31.312
16,31.341
17,31.371
18,31.403
19,31.422
20,31.437
21,31.454
22,31.467
23,31.479
24,31.488
25,31.500
26,31.509
27,31.518
28,31.525
29,31.534
30,31.540
31,31.548
32,31.556
33,31.562
34,31.567
35,31.576
36,31.585
37,31.592
38,31.600
39,31.612
40,31.626
41,31.640
42,31.655
43,31.675
44,31.696
45,31.711
46,31.723
47,31.736
48,31.745
49,31.755
50,31.763
51,31.770
52,31.778
53,31.784
54,31.790
55,31.796
56,31.804
57,31.810
58,31.817
59,31.823
60,31.831
61,31.845
62,31.868
63,31.903
64,31.938
65,31.965
66,31.994
67,32.030
68,32.050
69,32.069
70,32.087
71,32.102
72,32.119
73,32.132
74,32.148
75,32.169
76,32.201
77,32.278
78,32.328
79,32.404
80,32.630
81,32.924
82,33.062
83,33.148
84,33.289
85,33.526
86,34.222
87,34.621
88,34.746
89,34.950
90,36.614
91,37.047
92,41.086
93,238.205
94,532.781
95,533.259
96,534.049
97,535.748
98,542.314
99,6875.230
100,6896.323
