Percentage served,Time in ms
0,65.584
1,66.392
2,66.921
3,67.615
4,67.972
5,68.119
6,68.627
7,68.953
8,69.521
9,69.756
10,69.947
11,70.310
12,70.629
13,71.004
14,71.468
15,72.206
16,73.248
17,73.712
18,73.940
19,74.068
20,74.496
21,74.897
22,75.039
23,75.427
24,75.829
25,76.192
26,76.548
27,77.061
28,77.362
29,77.971
30,78.650
31,79.453
32,80.171
33,81.468
34,82.615
35,83.272
36,84.563
37,85.478
38,86.027
39,86.445
40,86.601
41,86.940
42,87.380
43,87.765
44,89.072
45,89.967
46,90.892
47,91.253
48,91.623
49,91.781
50,92.038
51,92.237
52,92.398
53,92.582
54,92.817
55,93.067
56,93.368
57,93.629
58,94.699
59,95.739
60,96.363
61,97.475
62,97.986
63,98.456
64,98.635
65,98.966
66,99.256
67,99.657
68,99.812
69,100.150
70,100.376
71,100.820
72,101.168
73,112.802
74,123.886
75,130.091
76,850.523
77,854.878
78,908.725
79,919.341
80,925.916
81,932.027
82,938.889
83,944.536
84,949.425
85,1063.704
86,1070.313
87,1071.552
88,1074.127
89,1076.854
90,1080.446
91,1299.636
92,1809.083
93,1814.859
94,1821.290
95,1828.003
96,1830.551
97,1831.956
98,1835.561
99,1840.103
100,1842.183
