starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 25 15:09:09 2019	1566745749	0	65	66	65
Sun Aug 25 15:09:09 2019	1566745749	0	65	66	63
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	63
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	63
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	63
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	65
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	64
Sun Aug 25 15:09:09 2019	1566745749	0	66	66	65
Sun Aug 25 15:09:09 2019	1566745749	0	66	67	65
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	62
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	65
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	63
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	63
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	65
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	65
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	65
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	67	66
Sun Aug 25 15:09:09 2019	1566745749	0	67	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	67	68	62
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	67
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	67
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	65
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	63
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	64
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	66
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	67
Sun Aug 25 15:09:09 2019	1566745749	0	68	68	67
Sun Aug 25 15:09:09 2019	1566745749	0	68	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	68	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	66
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	65
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	66
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	65
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	66
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	66
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	66
Sun Aug 25 15:09:09 2019	1566745749	0	69	69	67
